voltage [mV],time constant [ms]
-1.200000000000000000e+02,2.666972656250000000e+02
-1.183024826049804688e+02,2.695720214843750000e+02
-1.166908187866210938e+02,2.747241210937500000e+02
-1.151613616943359375e+02,2.820636596679687500e+02
-1.137104492187500000e+02,2.915007324218750000e+02
-1.123344268798828125e+02,3.029454956054687500e+02
-1.110296630859375000e+02,3.163080139160156250e+02
-1.097924880981445312e+02,3.314984130859375000e+02
-1.086192550659179688e+02,3.484267883300781250e+02
-1.075063171386718750e+02,3.670032653808593750e+02
-1.064500198364257812e+02,3.871379394531250000e+02
-1.054467163085937500e+02,4.087409362792968750e+02
-1.044927444458007812e+02,4.317223510742187500e+02
-1.035844573974609375e+02,4.559922790527343750e+02
-1.027182083129882812e+02,4.814608764648437500e+02
-1.018903427124023438e+02,5.080381774902343750e+02
-1.010972137451171875e+02,5.356343994140625000e+02
-1.003351593017578125e+02,5.641595458984375000e+02
-9.960053253173828125e+01,5.935237426757812500e+02
-9.888968658447265625e+01,6.236371459960937500e+02
-9.819896697998046875e+01,6.544098510742187500e+02
-9.739969635009765625e+01,6.919663696289062500e+02
-9.659761047363281250e+01,7.321861572265625000e+02
-9.582431030273437500e+01,7.734039916992187500e+02
-9.507671356201171875e+01,8.155176391601562500e+02
-9.435173034667968750e+01,8.584247436523437500e+02
-9.364627075195312500e+01,9.020231323242187500e+02
-9.295725250244140625e+01,9.462105102539062500e+02
-9.228158569335937500e+01,9.908845214843750000e+02
-9.161618041992187500e+01,1.035942993164062500e+03
-9.095794677734375000e+01,1.081283691406250000e+03
-9.030379486083984375e+01,1.126804199218750000e+03
-8.965065002441406250e+01,1.172402343750000000e+03
-8.905875396728515625e+01,1.214265625000000000e+03
-8.846624755859375000e+01,1.257424438476562500e+03
-8.786788177490234375e+01,1.302044921875000000e+03
-8.726412963867187500e+01,1.347887084960937500e+03
-8.665550994873046875e+01,1.394710937500000000e+03
-8.604249572753906250e+01,1.442276611328125000e+03
-8.542558288574218750e+01,1.490343872070312500e+03
-8.480527496337890625e+01,1.538673095703125000e+03
-8.418205261230468750e+01,1.587024047851562500e+03
-8.355641937255859375e+01,1.635156738281250000e+03
-8.292886352539062500e+01,1.682831298828125000e+03
-8.229988098144531250e+01,1.729807739257812500e+03
-8.158827972412109375e+01,1.781715698242187500e+03
-8.069079589843750000e+01,1.844702514648437500e+03
-7.981085205078125000e+01,1.903376953125000000e+03
-7.894674682617187500e+01,1.957678710937500000e+03
-7.809678649902343750e+01,2.007547363281250000e+03
-7.725927734375000000e+01,2.052922363281250000e+03
-7.643251800537109375e+01,2.093743896484375000e+03
-7.561482238769531250e+01,2.129951171875000000e+03
-7.480449676513671875e+01,2.161484130859375000e+03
-7.399983978271484375e+01,2.188282470703125000e+03
-7.319916534423828125e+01,2.210285644531250000e+03
-7.240077209472656250e+01,2.227433349609375000e+03
-7.160296630859375000e+01,2.239665283203125000e+03
-7.080406188964843750e+01,2.246921386718750000e+03
-7.000236511230468750e+01,2.249140869140625000e+03
-6.919616699218750000e+01,2.246263916015625000e+03
-6.838377380371093750e+01,2.238229736328125000e+03
-6.756350708007812500e+01,2.224978271484375000e+03
-6.673367309570312500e+01,2.206448974609375000e+03
-6.589256286621093750e+01,2.182581787109375000e+03
-6.503848266601562500e+01,2.153316162109375000e+03
-6.416974639892578125e+01,2.118592041015625000e+03
-6.328465652465820312e+01,2.078348876953125000e+03
-6.238151931762695312e+01,2.032526245117187500e+03
-6.145864105224609375e+01,1.981063964843750000e+03
-6.051432800292968750e+01,1.923901855468750000e+03
-5.954688262939453125e+01,1.860979248046875000e+03
-5.855461502075195312e+01,1.792236083984375000e+03
-5.777082443237304688e+01,1.735316650390625000e+03
-5.713115692138671875e+01,1.688017944335937500e+03
-5.648185729980468750e+01,1.639518188476562500e+03
-5.582371520996093750e+01,1.589998168945312500e+03
-5.515753936767578125e+01,1.539638549804687500e+03
-5.448410797119140625e+01,1.488619750976562500e+03
-5.380422973632812500e+01,1.437122680664062500e+03
-5.311869049072265625e+01,1.385328002929687500e+03
-5.242829895019531250e+01,1.333416137695312500e+03
-5.173383331298828125e+01,1.281568115234375000e+03
-5.103610229492187500e+01,1.229964233398437500e+03
-5.033589935302734375e+01,1.178785522460937500e+03
-4.963401031494140625e+01,1.128212280273437500e+03
-4.893124389648437500e+01,1.078425415039062500e+03
-4.822837829589843750e+01,1.029605590820312500e+03
-4.752622985839843750e+01,9.819333496093750000e+02
-4.682557678222656250e+01,9.355894165039062500e+02
-4.612722015380859375e+01,8.907545166015625000e+02
-4.543196105957031250e+01,8.476091918945312500e+02
-4.474058532714843750e+01,8.063342285156250000e+02
-4.405389404296875000e+01,7.671102294921875000e+02
-4.337268066406250000e+01,7.301178588867187500e+02
-4.269773864746093750e+01,6.955377807617187500e+02
-4.202986907958984375e+01,6.635507202148437500e+02
-4.136986541748046875e+01,6.343372802734375000e+02
-4.071851348876953125e+01,6.080781250000000000e+02
-4.007662200927734375e+01,5.849539794921875000e+02
