time [ms],current [pA]
9.195261554850731045e-06,1.768470525741577148e+00
1.518830204010009766e+01,1.768470525741577148e+00
3.037659645080566406e+01,1.768470525741577148e+00
4.556488800048828125e+01,1.768470525741577148e+00
5.136898803710937500e+01,3.768819332122802734e+00
5.409912490844726562e+01,4.928054332733154297e+00
5.823817443847656250e+01,4.875046730041503906e+00
6.397921752929687500e+01,7.407198905944824219e+00
6.922042083740234375e+01,9.044908523559570312e+00
7.636053466796875000e+01,1.054543590545654297e+01
8.621761322021484375e+01,1.184042835235595703e+01
9.960971069335937500e+01,1.286153221130371094e+01
1.173548812866210938e+02,1.354039764404296875e+01
1.402711639404296875e+02,1.380867004394531250e+01
1.561637725830078125e+02,1.378329849243164062e+01
1.694164428710937500e+02,1.376156330108642578e+01
1.830726623535156250e+02,1.374721240997314453e+01
1.971020050048828125e+02,1.373973941802978516e+01
2.114740447998046875e+02,1.373863410949707031e+01
2.261583862304687500e+02,1.374338722229003906e+01
2.411245880126953125e+02,1.375349140167236328e+01
2.563422546386718750e+02,1.376843643188476562e+01
2.717809448242187500e+02,1.378771400451660156e+01
2.874102478027343750e+02,1.381081485748291016e+01
3.031997375488281250e+02,1.383723163604736328e+01
3.191190185546875000e+02,1.386645412445068359e+01
3.351376647949218750e+02,1.389797306060791016e+01
3.512252502441406250e+02,1.393128108978271484e+01
3.673513488769531250e+02,1.396586894989013672e+01
3.834855651855468750e+02,1.400122737884521484e+01
3.995974731445312500e+02,1.403684806823730469e+01
4.156566467285156250e+02,1.407222175598144531e+01
4.316326599121093750e+02,1.410684013366699219e+01
4.474951171875000000e+02,1.414019393920898438e+01
4.632135925292968750e+02,1.417177486419677734e+01
4.787576599121093750e+02,1.420107269287109375e+01
4.940968933105468750e+02,1.422758007049560547e+01
5.092009277343750000e+02,1.425078773498535156e+01
5.240392456054687500e+02,1.427018737792968750e+01
5.385815429687500000e+02,1.428526878356933594e+01
5.522335815429687500e+02,1.429203128814697266e+01
5.522339477539062500e+02,1.256282901763916016e+01
5.522578125000000000e+02,9.189326286315917969e+00
5.532815551757812500e+02,6.020123481750488281e+00
5.554425659179687500e+02,7.933644771575927734e+00
5.558789062500000000e+02,9.499167442321777344e+00
5.560072631835937500e+02,1.098028564453125000e+01
5.561168823242187500e+02,1.303929805755615234e+01
5.562097167968750000e+02,1.558675861358642578e+01
5.562879638671875000e+02,1.853322410583496094e+01
5.563535766601562500e+02,2.178925132751464844e+01
5.564086303710937500e+02,2.526539611816406250e+01
5.564552001953125000e+02,2.887221145629882812e+01
5.564952392578125000e+02,3.252025604248046875e+01
5.565309448242187500e+02,3.612008666992187500e+01
5.565642089843750000e+02,3.958225250244140625e+01
5.565971069335937500e+02,4.281731796264648438e+01
5.566317749023437500e+02,4.573583602905273438e+01
5.566702270507812500e+02,4.824835968017578125e+01
5.567144165039062500e+02,5.026544570922851562e+01
5.567664794921875000e+02,5.169765472412109375e+01
5.568284912109375000e+02,5.245553588867187500e+01
5.577480468750000000e+02,5.591940307617187500e+01
5.598344726562500000e+02,5.756850814819335938e+01
5.652942504882812500e+02,5.695369720458984375e+01
5.764935913085937500e+02,5.426860427856445312e+01
5.843793945312500000e+02,5.235581207275390625e+01
5.911201782226562500e+02,5.077356719970703125e+01
5.985072021484375000e+02,4.909415817260742188e+01
6.065275268554687500e+02,4.733252716064453125e+01
6.151684570312500000e+02,4.550363540649414062e+01
6.244171752929687500e+02,4.362243270874023438e+01
6.342608032226562500e+02,4.170386886596679688e+01
6.446865844726562500e+02,3.976289749145507812e+01
6.556817626953125000e+02,3.781447601318359375e+01
6.672334594726562500e+02,3.587355041503906250e+01
6.793288574218750000e+02,3.395507812500000000e+01
6.919552612304687500e+02,3.207400894165039062e+01
7.050997924804687500e+02,3.024529457092285156e+01
7.187496337890625000e+02,2.848389053344726562e+01
7.328920288085937500e+02,2.680474853515625000e+01
7.475141601562500000e+02,2.522282028198242188e+01
7.626095581054687500e+02,2.375246620178222656e+01
7.785316162109375000e+02,2.232119560241699219e+01
7.942280273437500000e+02,2.097701454162597656e+01
8.097029418945312500e+02,1.971729278564453125e+01
8.249605712890625000e+02,1.853939628601074219e+01
8.400051269531250000e+02,1.744069671630859375e+01
8.548409423828125000e+02,1.641855812072753906e+01
8.694722290039062500e+02,1.547035312652587891e+01
8.839031372070312500e+02,1.459344673156738281e+01
8.981379394531250000e+02,1.378520870208740234e+01
9.121809082031250000e+02,1.304300594329833984e+01
9.260361938476562500e+02,1.236420822143554688e+01
9.397080688476562500e+02,1.174618339538574219e+01
9.532008056640625000e+02,1.118629837036132812e+01
9.665185546875000000e+02,1.068192291259765625e+01
9.796656494140625000e+02,1.023042488098144531e+01
9.926461791992187500e+02,9.829172134399414062e+00
1.005464538574218750e+03,9.475533485412597656e+00
