voltage [mV],ratio of molecules in open formation [1]
-9.007125854492187500e+01,-9.681758820079267025e-04
-8.799501037597656250e+01,-9.286403656005859375e-04
-8.591876220703125000e+01,-8.891047909855842590e-04
-8.384250640869140625e+01,-8.495692163705825806e-04
-8.176625823974609375e+01,-8.100336417555809021e-04
-7.969000244140625000e+01,-7.704980671405792236e-04
-7.761375427246093750e+01,-7.309624925255775452e-04
-7.553750610351562500e+01,-6.914269179105758667e-04
-7.346125793457031250e+01,-6.518913432955741882e-04
-7.138500213623046875e+01,-6.123558268882334232e-04
-6.930874633789062500e+01,-5.728202522732317448e-04
-6.723249816894531250e+01,-5.332846776582300663e-04
-6.515625000000000000e+01,-4.937491030432283878e-04
-6.307999801635742188e+01,-4.542135284282267094e-04
-6.100374603271484375e+01,-4.146779829170554876e-04
-5.892749786376953125e+01,-3.751424083020538092e-04
-5.685124588012695312e+01,-3.356068336870521307e-04
-5.477499389648437500e+01,-2.960712590720504522e-04
-5.269874572753906250e+01,-2.565357135608792305e-04
-5.062248992919921875e+01,-2.170001389458775520e-04
-4.854624176025390625e+01,-1.774645643308758736e-04
-4.707967376708984375e+01,5.067272577434778214e-04
-4.574509429931640625e+01,2.833771985024213791e-03
-4.446566009521484375e+01,6.805962882936000824e-03
-4.323738861083984375e+01,1.241392921656370163e-02
-4.205628204345703125e+01,1.964829862117767334e-02
-4.091836547851562500e+01,2.849970199167728424e-02
-3.981965637207031250e+01,3.895876556634902954e-02
-3.875615692138671875e+01,5.101611837744712830e-02
-3.772389984130859375e+01,6.466238945722579956e-02
-3.671887969970703125e+01,7.988820970058441162e-02
-3.573712921142578125e+01,9.668421000242233276e-02
-3.477465057373046875e+01,1.150410100817680359e-01
-3.382746887207031250e+01,1.349492371082305908e-01
-3.289159393310546875e+01,1.563995480537414551e-01
-3.196303558349609375e+01,1.793825328350067139e-01
-3.134666442871093750e+01,1.955064237117767334e-01
-3.078002929687500000e+01,2.108919024467468262e-01
-3.023308563232421875e+01,2.262727767229080200e-01
-2.970443725585937500e+01,2.416471540927886963e-01
-2.919272613525390625e+01,2.570131421089172363e-01
-2.869656372070312500e+01,2.723689079284667969e-01
-2.821458435058593750e+01,2.877124845981597900e-01
-2.774541473388671875e+01,3.030420243740081787e-01
-2.728766632080078125e+01,3.183556497097015381e-01
-2.683998107910156250e+01,3.336514830589294434e-01
-2.640097045898437500e+01,3.489276170730590820e-01
-2.596926116943359375e+01,3.641821444034576416e-01
-2.554348754882812500e+01,3.794132173061370850e-01
-2.512226104736328125e+01,3.946188986301422119e-01
-2.470421600341796875e+01,4.097973704338073730e-01
-2.428797149658203125e+01,4.249466955661773682e-01
-2.387215423583984375e+01,4.400650262832641602e-01
-2.345538330078125000e+01,4.551504254341125488e-01
-2.303629302978515625e+01,4.702010452747344971e-01
-2.261351013183593750e+01,4.852149784564971924e-01
-2.218564605712890625e+01,5.001903772354125977e-01
-2.175133514404296875e+01,5.151252746582031250e-01
-2.130920410156250000e+01,5.300178527832031250e-01
-2.085786437988281250e+01,5.448662638664245605e-01
-2.039595794677734375e+01,5.596684813499450684e-01
-1.992209625244140625e+01,5.744227170944213867e-01
-1.943339538574218750e+01,5.891788601875305176e-01
-1.891899108886718750e+01,6.043412089347839355e-01
-1.837867736816406250e+01,6.198967099189758301e-01
-1.781201934814453125e+01,6.357840895652770996e-01
-1.721858978271484375e+01,6.519421935081481934e-01
-1.659793853759765625e+01,6.683097481727600098e-01
-1.594964599609375000e+01,6.848255395889282227e-01
-1.527326202392578125e+01,7.014283537864685059e-01
-1.456836700439453125e+01,7.180569767951965332e-01
-1.383451843261718750e+01,7.346501946449279785e-01
-1.307128143310546875e+01,7.511467933654785156e-01
-1.227822113037109375e+01,7.674854993820190430e-01
-1.145490264892578125e+01,7.836051583290100098e-01
-1.060089111328125000e+01,7.994444966316223145e-01
-9.715751647949218750e+00,8.149423003196716309e-01
-8.799049377441406250e+00,8.300374150276184082e-01
-7.850349426269531250e+00,8.446685671806335449e-01
-6.869216918945312500e+00,8.587745428085327148e-01
-5.855224609375000000e+00,8.722941279411315918e-01
-4.807922363281250000e+00,8.851661086082458496e-01
-3.726890563964843750e+00,8.973292112350463867e-01
-2.611686706542968750e+00,9.087222814559936523e-01
-1.461868286132812500e+00,9.192841053009033203e-01
-2.770156860351562500e-01,9.289534091949462891e-01
9.433135986328125000e-01,9.376689791679382324e-01
2.199554443359375000e+00,9.453696012496948242e-01
3.492141723632812500e+00,9.519941210746765137e-01
4.821510314941406250e+00,9.574812054634094238e-01
6.308876037597656250e+00,9.629561901092529297e-01
7.668090820312500000e+00,9.682416915893554688e-01
8.970947265625000000e+00,9.732545018196105957e-01
1.031277465820312500e+01,9.779869318008422852e-01
1.178890991210937500e+01,9.824311137199401855e-01
1.349465942382812500e+01,9.865792989730834961e-01
1.552536010742187500e+01,9.904236793518066406e-01
1.797634887695312500e+01,9.939565062522888184e-01
2.094293212890625000e+01,9.971699714660644531e-01
2.452044677734375000e+01,1.000056266784667969e+00
