voltage [mV],current density [pA/pF]
-7.994524383544921875e+01,-3.174936175346374512e-01
-7.843743896484375000e+01,-3.171036243438720703e-01
-7.672644805908203125e+01,-3.078784346580505371e-01
-7.502594757080078125e+01,-2.986212372779846191e-01
-7.333581542968750000e+01,-2.893279194831848145e-01
-7.165589904785156250e+01,-2.799941301345825195e-01
-6.998607635498046875e+01,-2.706156373023986816e-01
-6.832619476318359375e+01,-2.611882090568542480e-01
-6.667613220214843750e+01,-2.517074942588806152e-01
-6.503574371337890625e+01,-2.421693205833435059e-01
-6.340489959716796875e+01,-2.325693964958190918e-01
-6.178345489501953125e+01,-2.229034304618835449e-01
-6.017127227783203125e+01,-2.131671905517578125e-01
-5.856822204589843750e+01,-2.033563852310180664e-01
-5.697415924072265625e+01,-1.934667825698852539e-01
-5.538895797729492188e+01,-1.834941506385803223e-01
-5.381246948242187500e+01,-1.734341382980346680e-01
-5.224456787109375000e+01,-1.632825136184692383e-01
-5.068511199951171875e+01,-1.530350446701049805e-01
-4.913395690917968750e+01,-1.426874995231628418e-01
-4.759098052978515625e+01,-1.322355270385742188e-01
-4.605603408813476562e+01,-1.216748952865600586e-01
-4.452898788452148438e+01,-1.110013723373413086e-01
-4.300970077514648438e+01,-1.002106666564941406e-01
-4.149803924560546875e+01,-8.929854631423950195e-02
-3.999386596679687500e+01,-7.826071977615356445e-02
-3.849703979492187500e+01,-6.709295511245727539e-02
-3.700743103027343750e+01,-5.579090118408203125e-02
-3.552489471435546875e+01,-4.435038566589355469e-02
-3.404930114746093750e+01,-3.276717662811279297e-02
-3.258051300048828125e+01,-2.103686332702636719e-02
-3.111838912963867188e+01,-9.155333042144775391e-03
-2.966279602050781250e+01,2.881765365600585938e-03
-2.821359252929687500e+01,1.507854461669921875e-02
-2.677064895629882812e+01,2.743959426879882812e-02
-2.533382415771484375e+01,3.996884822845458984e-02
-2.390298080444335938e+01,5.267071723937988281e-02
-2.247798538208007812e+01,6.554937362670898438e-02
-2.105869674682617188e+01,7.860922813415527344e-02
-1.964498138427734375e+01,9.185433387756347656e-02
-1.823670196533203125e+01,1.052892208099365234e-01
-1.683371734619140625e+01,1.189179420471191406e-01
-1.543589782714843750e+01,1.327449083328247070e-01
-1.404310607910156250e+01,1.467741727828979492e-01
-1.265519714355468750e+01,1.610102653503417969e-01
-1.127204132080078125e+01,1.754571199417114258e-01
-9.893501281738281250e+00,1.901193857192993164e-01
-8.519439697265625000e+00,2.050009965896606445e-01
-7.149711608886718750e+00,2.201064825057983398e-01
-5.784194946289062500e+00,2.354398965835571289e-01
-4.422744750976562500e+00,2.510055303573608398e-01
-3.065223693847656250e+00,2.668076753616333008e-01
-1.711502075195312500e+00,2.828507423400878906e-01
-3.614349365234375000e-01,2.991387844085693359e-01
9.851150512695312500e-01,3.156760931015014648e-01
2.328285217285156250e+00,3.324670791625976562e-01
3.668205261230468750e+00,3.495159149169921875e-01
5.005012512207031250e+00,3.668267726898193359e-01
6.338844299316406250e+00,3.844040632247924805e-01
7.669845581054687500e+00,4.022519588470458984e-01
8.998146057128906250e+00,4.203747510910034180e-01
1.032388305664062500e+01,4.387767314910888672e-01
1.164719390869140625e+01,4.574620723724365234e-01
1.296821594238281250e+01,4.764350652694702148e-01
1.428709411621093750e+01,4.957001209259033203e-01
1.560394287109375000e+01,5.152612924575805664e-01
1.691892242431640625e+01,5.351229906082153320e-01
1.823215484619140625e+01,5.552893877029418945e-01
1.954378509521484375e+01,5.757647752761840820e-01
2.085395050048828125e+01,5.965534448623657227e-01
2.216278076171875000e+01,6.176595687866210938e-01
2.347041320800781250e+01,6.390875577926635742e-01
2.477699279785156250e+01,6.608415842056274414e-01
2.608264923095703125e+01,6.829258203506469727e-01
2.738751983642578125e+01,7.053447961807250977e-01
2.869174194335937500e+01,7.281024456024169922e-01
2.999546051025390625e+01,7.512032985687255859e-01
3.129879760742187500e+01,7.746515274047851562e-01
3.260189819335937500e+01,7.984513044357299805e-01
3.390489959716796875e+01,8.226069211959838867e-01
3.520793914794921875e+01,8.471227884292602539e-01
3.651115417480468750e+01,8.720030784606933594e-01
3.781467437744140625e+01,8.972519636154174805e-01
3.911864471435546875e+01,9.228738546371459961e-01
4.042320251464843750e+01,9.488728046417236328e-01
4.172846984863281250e+01,9.752533435821533203e-01
4.303460693359375000e+01,1.002019643783569336e+00
4.434172821044921875e+01,1.029175758361816406e+00
4.564998626708984375e+01,1.056726217269897461e+00
4.695951080322265625e+01,1.084675312042236328e+00
4.827043151855468750e+01,1.113027095794677734e+00
4.958290100097656250e+01,1.141785860061645508e+00
5.089704895019531250e+01,1.170955896377563477e+00
5.221301269531250000e+01,1.200541496276855469e+00
5.353092956542968750e+01,1.230547189712524414e+00
5.485093688964843750e+01,1.260976791381835938e+00
5.617315673828125000e+01,1.291834592819213867e+00
5.749775695800781250e+01,1.323125123977661133e+00
5.882484436035156250e+01,1.354852676391601562e+00
6.015455627441406250e+01,1.387021064758300781e+00
